name;division;age;nationality;maç sayısı;rounds;nakavt oranı;height;reach;stance;career;yenme;yenilgi;berabere;nakavt_etme;nakavt_edilme
Junlong Zhang;heavy;43;China;21;50;95%;;;;"debut
        2012-10-27";20;1;0;19 KOs;1 KOs
Ubaldo Ilagor Resendiz;heavy;25;Mexico;13;32;91.67%;;;;"debut
        2019-09-06";12;1;0;11 KOs;0 KOs
Dilan Prasovic;heavy;29;Montenegro;21;68;82.35%;;;orthodox;"debut
        2014-10-25";17;4;0;14 KOs;4 KOs
Luis Wright;heavy;26;United Kingdom;6;22;50%;6′ 6″   /   198cm;;;"debut
        2023-05-13";6;0;0;3 KOs;0 KOs
Pezhman Seifkhani;heavy;34;Sweden;17;47;75%;6′ 3″   /   190cm;;orthodox;"debut
        2015-05-23";16;1;0;12 KOs;1 KOs
Bowie Tupou;heavy;42;Australia;35;144;68.97%;6′ 2½″   /   189cm;75½″   /   192cm;orthodox;"debut
        2006-02-18";29;6;0;20 KOs;4 KOs
Ihor Shevadzutskyi;heavy;34;Ukraine;13;48;81.82%;6′ 3″   /   190cm;;orthodox;"debut
        2019-06-23";11;2;0;9 KOs;1 KOs
Matthew Terry;heavy;36;USA;8;21;87.5%;5′ 9″   /   175cm;;;"debut
        2022-03-12";8;0;0;7 KOs;0 KOs
Cody Terry East;heavy;36;USA;7;24;66.67%;6′ 4″   /   193cm;;orthodox;"debut
        2013-03-23";6;1;0;4 KOs;1 KOs
Ali Baloyev;heavy;31;Kazakhstan;16;70;61.54%;;;orthodox;"debut
        2017-03-11";13;2;1;8 KOs;2 KOs
Hassan El Chehade;heavy;41;Lebanon;6;24;66.67%;6′ 3″   /   190cm;;orthodox;"debut
        2023-02-25";6;0;0;4 KOs;0 KOs
Artur Bizewski;heavy;35;Poland;9;27;44.44%;6′ 3″   /   191cm;76″   /   193cm;orthodox;"debut
        2021-10-02";9;0;0;4 KOs;0 KOs
Habib Vuqiterna;heavy;32;Austria;12;33;72.73%;6′ 4″   /   193cm;;orthodox;"debut
        2018-05-19";11;1;0;8 KOs;1 KOs
Jung Hyun Kim;heavy;29;South Korea;4;15;100%;6′ 0½″   /   184cm;;orthodox;"debut
        2023-03-18";4;0;0;4 KOs;0 KOs
Kashaun Davis;heavy;25;USA;9;19;100%;;;;"debut
        2022-04-30";9;0;0;9 KOs;0 KOs
Mariusz Wach;heavy;44;Poland;49;314;52.63%;6′ 7½″   /   202cm;82″   /   208cm;orthodox;"debut
        2005-04-29";38;11;0;20 KOs;5 KOs
Nursultan Amanzholov;heavy;31;Kazakhstan;8;22;85.71%;6′ 2½″   /   189cm;82½″   /   210cm;orthodox;"debut
        2019-07-05";7;1;0;6 KOs;1 KOs
Chris Thompson;heavy;29;South Africa;21;105;50%;;;southpaw;"debut
        2017-05-26";14;6;1;7 KOs;3 KOs
Idrissou Djeretchissou;heavy;29;;4;11;100%;;;;"debut
        2022-09-24";4;0;0;4 KOs;0 KOs
James Evans;heavy;32;USA;10;24;100%;6′ 5″   /   196cm;;orthodox;"debut
        2019-12-07";7;2;1;7 KOs;2 KOs
Herman Ene Purcell;heavy;29;Australia;28;96;57.89%;5′ 9½″   /   176cm;67″   /   170cm;orthodox;"debut
        2013-10-04";19;9;0;11 KOs;5 KOs
Eduardo Giustini;heavy;35;Italy;20;120;35.29%;6′ 1″   /   186cm;;southpaw;"debut
        2019-02-06";17;3;0;6 KOs;2 KOs
Gabriel Kocsis;heavy;26;Slovakia;9;22;100%;;;;"debut
        2022-11-04";7;1;1;7 KOs;0 KOs
Vladan Babic;heavy;33;Serbia;6;10;83.33%;6′ 5″   /   196cm;;orthodox;"debut
        2018-06-09";6;0;0;5 KOs;0 KOs
Drake Banks;heavy;24;USA;6;13;83.33%;6′ 4″   /   193cm;;orthodox;"debut
        2023-09-16";6;0;0;5 KOs;0 KOs
Todorche Cvetkov;heavy;33;Macedonia;9;26;77.78%;;;;"debut
        2024-04-06";9;0;0;7 KOs;0 KOs
Evgenios Lazaridis;heavy;36;Greece;25;116;68.42%;6′ 6″   /   198cm;;orthodox;"debut
        2013-06-14";19;6;0;13 KOs;2 KOs
Kevin Nagle;heavy;41;USA;10;29;80%;;;;"debut
        2023-02-18";10;0;0;8 KOs;0 KOs
Calvin Barnett;heavy;33;USA;6;23;40%;6′ 3″   /   191cm;;;"debut
        2023-04-01";5;1;0;2 KOs;0 KOs
Garreth Payton;heavy;39;USA;6;21;60%;6′ 0″   /   183cm;;orthodox;"debut
        2020-02-01";5;1;0;3 KOs;0 KOs
Edgar Ramirez;heavy;29;Mexico;12;43;40%;6′ 1½″   /   187cm;76″   /   193cm;orthodox;"debut
        2016-05-20";10;1;1;4 KOs;0 KOs
Gurkan Karadag;heavy;24;Turkiye;8;10;100%;;;;"debut
        2023-07-24";7;1;0;7 KOs;1 KOs
Joey Gonzalez;heavy;28;USA;7;11;100%;;;;"debut
        2022-08-20";7;0;0;7 KOs;0 KOs
Askat Zhantursynov;heavy;30;Kazakhstan;9;24;87.5%;6′ 1″   /   185cm;;orthodox;"debut
        2018-07-28";8;1;0;7 KOs;0 KOs
Lewis Clarke;heavy;Tony Tolj;Australia;7;29;50%;;;;"debut
        2021-02-26";6;1;0;3 KOs;0 KOs
Liam Talivaa;heavy;30;Australia;7;23;33.33%;6′ 1″   /   185cm;72″   /   183cm;southpaw;"debut
        2022-07-02";6;1;0;2 KOs;1 KOs
Luis Alfredo Alcantara Guerrero;heavy;28;Dominican Republic;10;18;90%;;;;"debut
        2021-12-18";10;0;0;9 KOs;0 KOs
Mattar Garcia;heavy;;France;4;7;75%;;;;"debut
        2021-12-17";4;0;0;3 KOs;0 KOs
Thorsten Fuchs;heavy;33;Germany;15;39;76.92%;6′ 0″   /   183cm;;;"debut
        2021-03-27";13;2;0;10 KOs;2 KOs
Eder Galina Fortes;heavy;35;France;6;29;25%;;;;"debut
        2021-12-17";4;1;1;1 KOs;0 KOs
Jae Kam Lee;heavy;21;South Korea;5;18;100%;6′ 3″   /   190cm;;orthodox;"debut
        2022-11-26";4;1;0;4 KOs;0 KOs
Ovidiu Enache;heavy;34;Romania;23;129;9.09%;;;orthodox;"debut
        2016-06-10";11;12;0;1 KOs;1 KOs
George Foreman;heavy;41;USA;18;33;94.44%;6′ 5″   /   196cm;;;"debut
        2009-06-06";18;0;0;17 KOs;0 KOs
Enobong Umohette;heavy;45;Nigeria;17;53;85.71%;5′ 11″   /   180cm;;orthodox;"debut
        2009-04-24";14;3;0;12 KOs;2 KOs
Alex Leapai Jnr;heavy;18;Australia;3;10;66.67%;6′ 4″   /   193cm;;orthodox;"debut
        2024-04-03";3;0;0;2 KOs;0 KOs
Temur Mamoyan;heavy;33;Germany;8;13;100%;6′ 3″   /   190cm;;;"debut
        2022-07-10";8;0;0;8 KOs;0 KOs
Thomas Narmo;heavy;30;Norway;8;13;100%;6′ 6½″   /   200cm;79½″   /   202cm;orthodox;"debut
        2022-02-26";8;0;0;8 KOs;0 KOs
Johan Linde;heavy;41;Australia;7;28;100%;6′ 6″   /   198cm;;orthodox;"debut
        2023-06-17";4;2;1;4 KOs;0 KOs
Shokran Parwani;heavy;32;Germany;21;71;78.95%;6′ 3½″   /   192cm;;southpaw;"debut
        2016-07-03";19;1;0;15 KOs;1 KOs
Clement Gillet;heavy;24;France;8;36;28.57%;;;;"debut
        2022-10-15";7;0;1;2 KOs;0 KOs
James Willis;heavy;30;USA;7;26;83.33%;5′ 9″   /   175cm;;;"debut
        2023-03-18";6;1;0;5 KOs;0 KOs
Alessio Spahiu;heavy;33;Italy;9;34;75%;5′ 11½″   /   181cm;;orthodox;"debut
        2021-09-25";8;1;0;6 KOs;0 KOs
Cesar Navarro;heavy;24;Mexico;15;38;84.62%;6′ 0″   /   183cm;73½″   /   187cm;;"debut
        2017-03-17";13;2;0;11 KOs;0 KOs
Edwin Alberto Antunez Ochoa;heavy;17;Mexico;6;17;66.67%;;;;"debut
        2022-08-27";6;0;0;4 KOs;0 KOs
Hasim Rahman Jr;heavy;33;USA;15;51;46.15%;6′ 3″   /   191cm;;southpaw;"debut
        2017-04-14";13;2;0;6 KOs;1 KOs
Nicholas Johnson;heavy;30;USA;9;30;62.5%;;;;"debut
        2021-11-17";8;1;0;5 KOs;0 KOs
Dmytro Bezus;heavy;35;Ukraine;12;40;50%;6′ 6½″   /   200cm;78½″   /   200cm;orthodox;"debut
        2019-11-02";10;2;0;5 KOs;2 KOs
John Caicedo;heavy;26;Colombia;6;14;66.67%;;;;"debut
        2021-07-24";6;0;0;4 KOs;0 KOs
Timothy Moten;heavy;32;USA;12;33;63.64%;5′ 11″   /   180cm;;;"debut
        2017-10-06";11;0;1;7 KOs;0 KOs
Tom Simmons;heavy;29;United Kingdom;7;30;14.29%;;;;"debut
        2021-11-06";7;0;0;1 KOs;0 KOs
Ivica Bacurin;heavy;42;Croatia;53;229;67.57%;6′ 2″   /   188cm;;orthodox;"debut
        2008-04-19";37;14;1;25 KOs;6 KOs
Luis Antonio Rodriguez Villalba;heavy;23;Mexico;3;12;0%;;;;"debut
        2023-05-20";3;0;0;0 KOs;0 KOs
Oswaldo Nieto Camara;heavy;31;Mexico;4;9;75%;;;;"debut
        2021-12-18";4;0;0;3 KOs;0 KOs
Richard Lartey Harrison;heavy;32;Ghana;23;111;81.25%;6′ 5″   /   196cm;77″   /   196cm;;"debut
        2013-01-19";16;7;0;13 KOs;6 KOs
Joshua Temple;heavy;32;USA;16;51;76.92%;6′ 3″   /   191cm;;orthodox;"debut
        2016-07-15";13;3;0;10 KOs;1 KOs
Ignacio Esparza;heavy;47;Mexico;27;129;60.87%;;;;"debut
        2000-06-02";23;4;0;14 KOs;3 KOs
Earl Newman;heavy;33;USA;15;74;70%;6′ 3″   /   191cm;78″   /   198cm;orthodox;"debut
        2014-10-04";10;4;1;7 KOs;1 KOs
Abubakar Salakh Mutselkhanov;heavy;29;Russia;1;3;100%;;;;"debut
        2024-07-13";1;0;0;1 KOs;0 KOs
Kaleel Carter;heavy;23;USA;10;26;100%;6′ 1″   /   185cm;;orthodox;"debut
        2022-04-22";5;4;1;5 KOs;1 KOs
Jett Blackwell;heavy;23;USA;4;16;0%;6′ 2″   /   188cm;;orthodox;"debut
        2023-06-24";3;0;1;0 KOs;0 KOs
Miguel Emilio Morel;heavy;;Dominican Republic;6;12;83.33%;;;;"debut
        2022-09-25";6;0;0;5 KOs;0 KOs
Brayan Santander;heavy;24;Colombia;14;70;58.33%;;;southpaw;"debut
        2023-09-24";12;2;0;7 KOs;2 KOs
Semi Dauloloma;heavy;26;Fiji;6;13;100%;;;;"debut
        2022-12-17";3;1;0;3 KOs;1 KOs
Kostiantyn Dovbyshchenko;heavy;33;Ukraine;27;158;70%;6′ 1″   /   185cm;;orthodox;"debut
        2015-12-19";10;16;1;7 KOs;0 KOs
Ali Ellis;heavy;36;USA;6;17;50%;5′ 10″   /   178cm;;orthodox;"debut
        2023-03-04";6;0;0;3 KOs;0 KOs
Jacek Krzysztof Piatek;heavy;51;Poland;14;21;83.33%;;;;"debut
        2015-10-03";12;2;0;10 KOs;2 KOs
Tyrrell Anthony Herndon;heavy;37;USA;29;100;62.5%;6′ 3″   /   191cm;;;"debut
        2015-11-14";24;5;0;15 KOs;4 KOs
Miguel Galvan;heavy;44;Spain;6;22;80%;;;;"debut
        2022-04-30";5;1;0;4 KOs;1 KOs
Lovro Pavcec;heavy;18;Croatia;6;13;83.33%;;;;"debut
        2023-03-25";6;0;0;5 KOs;0 KOs
Marko Bozovic;heavy;31;Montenegro;7;11;100%;;;;"debut
        2024-03-23";7;0;0;7 KOs;0 KOs
Ehsan Rouzbahani;heavy;36;Iran;7;13;100%;5′ 10″   /   178cm;;;"debut
        2017-09-16";7;0;0;7 KOs;0 KOs
Ali Feliz;heavy;21;USA;4;9;75%;6′ 2″   /   188cm;76″   /   193cm;;"debut
        2024-04-13";4;0;0;3 KOs;0 KOs
