name;division;age;nationality;maç sayısı;rounds;nakavt oranı;height;reach;stance;career;yenme;yenilgi;berabere;nakavt_etme;nakavt_edilme
Dennis Vance Jr;heavy;33;USA;17;53;50%;5′ 11″   /   180cm;;southpaw;"debut
        2019-06-07";4;13;0;2 KOs;6 KOs
Jonathan Claudio Sauco;heavy;34;Argentina;3;8;50%;;;orthodox;"debut
        2019-05-10";2;1;0;1 KOs;1 KOs
Joel Ducille;heavy;34;United Kingdom;6;21;0%;6′ 4″   /   193cm;;orthodox;"debut
        2017-11-10";1;4;1;0 KOs;3 KOs
Ashraf Suleiman;heavy;43;Tanzania;16;63;80%;6′ 1″   /   185cm;;orthodox;"debut
        2005-10-06";5;8;2;4 KOs;5 KOs
Alexander Rhodes;heavy;30;USA;2;6;50%;;;;"debut
        2024-07-13";2;0;0;1 KOs;0 KOs
Ronalddy Matheus Costa Medeiros;heavy;27;Brazil;7;19;75%;5′ 10½″   /   179cm;72″   /   183cm;orthodox;"debut
        2020-02-08";4;2;1;3 KOs;0 KOs
Josh Popper;heavy;31;USA;1;1;100%;6′ 3″   /   191cm;;orthodox;"debut
        2024-10-01";1;0;0;1 KOs;0 KOs
Harold Roy;heavy;43;USA;3;10;50%;6′ 3″   /   191cm;;orthodox;"debut
        2023-04-22";2;1;0;1 KOs;0 KOs
Juan Manuel Dominguez Silva;heavy;39;Mexico;11;30;57.14%;5′ 10″   /   178cm;;orthodox;"debut
        2012-03-22";7;4;0;4 KOs;3 KOs
John Cortez;heavy;33;Colombia;30;101;75%;;;;"debut
        2013-06-12";16;13;1;12 KOs;10 KOs
Juan Carlos Medina Morales;heavy;21;Mexico;2;8;0%;;;;"debut
        2022-10-08";2;0;0;0 KOs;0 KOs
Marcus Cohen;heavy;24;USA;3;7;50%;;;;"debut
        2019-09-07";2;1;0;1 KOs;1 KOs
Miles Stewart;heavy;31;USA;4;6;100%;;;;"debut
        2022-05-07";4;0;0;4 KOs;0 KOs
Abdulsamet Salih;heavy;28;Turkiye;6;21;75%;;;;"debut
        2021-09-03";4;1;1;3 KOs;0 KOs
Alexander Zubkov;heavy;36;Russia;21;59;88.89%;6′ 3″   /   190cm;73½″   /   187cm;orthodox;"debut
        2019-04-27";9;12;0;8 KOs;9 KOs
Richard Pkhakadze;heavy;27;Georgia;11;44;33.33%;;;orthodox;"debut
        2021-04-25";3;7;1;1 KOs;2 KOs
Manuel Eastman;heavy;32;USA;14;47;33.33%;;;orthodox;"debut
        2012-05-04";3;9;2;1 KOs;6 KOs
Weixian Wang;heavy;25;China;6;24;16.67%;6′ 1″   /   185cm;75″   /   190cm;orthodox;"debut
        2020-08-28";6;0;0;1 KOs;0 KOs
Lugano Mwaikambo;heavy;40;Tanzania;5;14;100%;;;orthodox;"debut
        2022-06-18";4;0;1;4 KOs;0 KOs
Luis Morales Duran;heavy;25;Mexico;6;12;100%;;;;"debut
        2018-05-05";5;1;0;5 KOs;1 KOs
Nikola Prajo;heavy;30;Austria;2;7;50%;;;;"debut
        2024-04-20";2;0;0;1 KOs;0 KOs
Francis Ngannou;heavy;38;Cameroon;2;12;0%;6′ 4″   /   193cm;;orthodox;"debut
        2023-10-28";0;2;0;0 KOs;1 KOs
Sunday Abudu;heavy;33;Nigeria;6;33;0%;;;;"debut
        2021-08-27";1;5;0;0 KOs;2 KOs
Elvis Smajlovic;heavy;28;Bosnia And Herzegovina;38;160;52.94%;;;;"debut
        2017-02-12";17;18;3;9 KOs;12 KOs
Alvaro Terrero;heavy;37;Spain;28;115;60%;6′ 3″   /   190cm;;orthodox;"debut
        2012-09-29";5;21;2;3 KOs;10 KOs
Michael Speed Sigarlaki;heavy;35;Indonesia;41;206;87.5%;5′ 6½″   /   169cm;;orthodox;"debut
        2006-02-28";16;23;2;14 KOs;13 KOs
Mohammad Khisheh;heavy;28;Iran;1;1;100%;;;;"debut
        2024-03-10";1;0;0;1 KOs;0 KOs
Jordan Lakli;heavy;;France;7;29;0%;;;;"debut
        2022-05-13";2;5;0;0 KOs;1 KOs
Fadhili Rajabu;heavy;34;Tanzania;2;4;100%;;;;"debut
        2024-09-11";2;0;0;2 KOs;0 KOs
Blerim Tahiri;heavy;;Germany;3;5;100%;;;;"debut
        2023-12-09";3;0;0;3 KOs;0 KOs
Nakhonchai Pantang;heavy;28;Thailand;17;51;77.78%;6′ 3″   /   190cm;75½″   /   192cm;southpaw;"debut
        2018-06-17";9;7;1;7 KOs;5 KOs
Damon Hill;heavy;49;USA;3;7;66.67%;;;;"debut
        2018-07-21";3;0;0;2 KOs;0 KOs
Gary Phillips;heavy;;Australia;7;16;100%;;;orthodox;"debut
        2022-11-23";1;5;1;1 KOs;4 KOs
Hearl Collins;heavy;31;USA;1;1;100%;;;;"debut
        2024-06-01";1;0;0;1 KOs;0 KOs
Louis Delplanque;heavy;37;France;6;27;0%;5′ 11½″   /   182cm;;;"debut
        2023-02-18";2;3;1;0 KOs;1 KOs
Serin Can;heavy;21;Germany;2;8;0%;;;;"debut
        2024-09-21";2;0;0;0 KOs;0 KOs
Luis Cortes Sanchez;heavy;38;Mexico;13;34;100%;;;;"debut
        2015-04-17";5;8;0;5 KOs;8 KOs
Shokhruz Rakhimov;heavy;26;Uzbekistan;6;11;100%;6′ 1″   /   186cm;;southpaw;"debut
        2019-08-29";3;2;1;3 KOs;2 KOs
Evzen Velky;heavy;36;Czech Republic;9;32;100%;;;;"debut
        2009-10-03";1;8;0;1 KOs;3 KOs
Petar Baletic;heavy;28;Montenegro;4;4;100%;6′ 3″   /   190cm;;orthodox;"debut
        2023-03-25";4;0;0;4 KOs;0 KOs
Ahmed Krnjic;heavy;27;Bosnia And Herzegovina;2;5;50%;6′ 4½″   /   194cm;;;"debut
        2024-01-27";2;0;0;1 KOs;0 KOs
Dariel Sanchez;heavy;32;USA;5;20;0%;6′ 1″   /   185cm;;orthodox;"debut
        2023-09-01";1;3;0;0 KOs;0 KOs
Laszlo Ivanyi;heavy;30;Hungary;29;95;80%;5′ 11½″   /   182cm;;orthodox;"debut
        2015-03-07";10;18;1;8 KOs;12 KOs
Michele Ogliari;heavy;28;Italy;3;5;100%;6′ 6½″   /   199cm;;;"debut
        2023-06-17";2;1;0;2 KOs;1 KOs
Kevin Greenwood;heavy;41;United Kingdom;14;69;16.67%;6′ 1″   /   185cm;;orthodox;"debut
        2012-07-07";6;8;0;1 KOs;2 KOs
Jose Hernandez;heavy;34;Venezuela;7;17;83.33%;;;;"debut
        2024-03-07";6;1;0;5 KOs;1 KOs
Lasher Kurun;heavy;35;Germany;4;6;100%;;;;"debut
        2024-03-16";4;0;0;4 KOs;0 KOs
Dusan Krstin;heavy;29;Serbia;29;146;25%;;;orthodox;"debut
        2015-06-21";8;20;1;2 KOs;7 KOs
Ian Morgan;heavy;24;USA;4;13;50%;5′ 11″   /   180cm;;orthodox;"debut
        2023-06-02";2;2;0;1 KOs;0 KOs
Askhat Kuanyshkhan;heavy;35;Kazakhstan;1;1;100%;;;;"debut
        2024-03-01";1;0;0;1 KOs;0 KOs
Gonzalo Lopez Rodriguez;heavy;27;Mexico;15;54;0%;;;;"debut
        2015-08-14";3;9;3;0 KOs;4 KOs
Julio Enrique Cuellar Cabrera;heavy;43;Bolivia;26;49;93.75%;;;orthodox;"debut
        2009-12-30";16;10;0;15 KOs;10 KOs
John Lavulo;heavy;;Australia;1;1;100%;;;;"debut
        2024-06-22";1;0;0;1 KOs;0 KOs
Alex Davis;heavy;30;USA;13;41;80%;6′ 1″   /   185cm;;;"debut
        2022-06-11";5;7;1;4 KOs;3 KOs
Yize Jiang;heavy;30;China;5;14;75%;;;;"debut
        2023-12-16";4;1;0;3 KOs;0 KOs
Rakhimjon Kakhramonov;heavy;21;Uzbekistan;6;16;100%;;;;"debut
        2022-07-02";3;3;0;3 KOs;2 KOs
Joseph Bond;heavy;40;USA;6;16;0%;5′ 10″   /   178cm;;;"debut
        2021-09-18";0;6;0;0 KOs;3 KOs
Bryan Hall;heavy;27;USA;6;17;0%;6′ 2″   /   188cm;;orthodox;"debut
        2023-04-21";1;4;1;0 KOs;3 KOs
Aydin Yildirim;heavy;27;Germany;3;9;100%;;;;"debut
        2022-10-29";2;1;0;2 KOs;1 KOs
Victor Hugo Costa;heavy;30;Brazil;5;11;100%;;;;"debut
        2024-02-16";1;4;0;1 KOs;3 KOs
Anis Bouzid;heavy;29;Belgium;2;2;100%;;;;"debut
        2023-11-25";2;0;0;2 KOs;0 KOs
Alen Lauriolle;heavy;36;Germany;21;68;36.36%;5′ 11½″   /   181cm;;orthodox;"debut
        2022-05-22";11;9;1;4 KOs;8 KOs
Francisco Suero Perez;heavy;48;Dominican Republic;36;63;95%;5′ 11″   /   180cm;;;"debut
        2009-04-25";20;16;0;19 KOs;16 KOs
Joshua Johnston;heavy;;Australia;4;5;100%;;;;"debut
        2023-11-04";3;1;0;3 KOs;1 KOs
Jesus Martinez Torres;heavy;35;Mexico;41;152;56.52%;;;orthodox;"debut
        2009-11-28";23;18;0;13 KOs;18 KOs
Chad Leoncello;heavy;41;USA;4;12;100%;;;;"debut
        2019-11-23";1;2;1;1 KOs;1 KOs
Waylon Bailey;heavy;31;USA;5;11;80%;6′ 2″   /   188cm;;orthodox;"debut
        2023-09-23";5;0;0;4 KOs;0 KOs
Nicholas Calamaco;heavy;34;USA;12;40;50%;5′ 7″   /   170cm;;;"debut
        2011-04-30";4;7;0;2 KOs;3 KOs
Geriso Aduashvili;heavy;24;Georgia;31;94;62.5%;;;orthodox;"debut
        2017-12-08";8;22;0;5 KOs;14 KOs
Oscar Heredia Arias;heavy;36;Mexico;6;16;50%;;;;"debut
        2020-12-04";2;4;0;1 KOs;2 KOs
Onur Selim;heavy;26;Germany;11;28;100%;5′ 7½″   /   171cm;;;"debut
        2020-07-18";4;7;0;4 KOs;6 KOs
Martin Zawada;heavy;41;Germany;1;1;100%;;;;"debut
        2023-11-18";1;0;0;1 KOs;0 KOs
Marlon Haywood;heavy;36;USA;8;19;50%;5′ 11″   /   180cm;;orthodox;"debut
        2021-12-18";2;6;0;1 KOs;4 KOs
Kaleb Slaughter;heavy;37;USA;15;34;25%;6′ 2″   /   188cm;;orthodox;"debut
        2017-03-04";4;10;1;1 KOs;8 KOs
Isaac Lee;heavy;25;United Kingdom;4;13;0%;;;;"debut
        2022-05-14";3;1;0;0 KOs;1 KOs
Dawid Turzeniecki;heavy;28;Poland;3;12;0%;6′ 0″   /   183cm;72″   /   183cm;orthodox;"debut
        2023-06-02";3;0;0;0 KOs;0 KOs
Youness Baalla;heavy;25;Morocco;2;3;100%;;;;"debut
        2023-12-23";2;0;0;2 KOs;0 KOs
Vagid Magomedov;heavy;37;Russia;5;8;100%;;;;"debut
        2021-11-08";5;0;0;5 KOs;0 KOs
Phil Williams;heavy;39;United Kingdom;64;259;16.67%;;77″   /   196cm;orthodox;"debut
        2018-06-15";6;57;1;1 KOs;9 KOs
Ilyes Selhaoui;heavy;20;France;1;4;0%;;;;"debut
        2024-04-27";1;0;0;0 KOs;0 KOs
Cristian Filip;heavy;25;Romania;5;10;80%;;;;"debut
        2022-11-25";5;0;0;4 KOs;0 KOs
Tevita Pangai Jr;heavy;28;Australia;5;14;75%;;;orthodox;"debut
        2021-12-04";4;1;0;3 KOs;1 KOs
Trevor Kotara;heavy;34;USA;8;28;25%;6′ 3″   /   191cm;;southpaw;"debut
        2021-06-04";4;3;1;1 KOs;3 KOs
Valerio Cancelli;heavy;24;Italy;4;16;50%;;;;"debut
        2020-10-09";4;0;0;2 KOs;0 KOs
Mario Jagatic;heavy;40;Croatia;12;34;66.67%;6′ 5″   /   195cm;;;"debut
        2016-11-19";3;9;0;2 KOs;6 KOs
Demir Gulamic;heavy;22;Bosnia And Herzegovina;20;73;25%;;;orthodox;"debut
        2019-12-08";8;10;2;2 KOs;8 KOs
Andrea Pesce;heavy;39;Italy;40;195;20%;5′ 9″   /   175cm;;orthodox;"debut
        2012-04-25";10;26;4;2 KOs;10 KOs
Raul Antonio Villarruel;heavy;40;Argentina;13;50;25%;;;;"debut
        2016-09-09";4;9;0;1 KOs;3 KOs
Victor Mashaka;heavy;30;Tanzania;7;18;80%;6′ 1″   /   185cm;;orthodox;"debut
        2015-07-18";5;2;0;4 KOs;2 KOs
Brad Trevisan;heavy;;Australia;6;28;50%;;;;"debut
        2023-02-17";4;2;0;2 KOs;1 KOs
Elder Hernandez Gama;heavy;35;Mexico;11;29;66.67%;;;;"debut
        2014-09-07";6;5;0;4 KOs;5 KOs
Christopher Arnold;heavy;39;USA;9;21;100%;6′ 2″   /   188cm;;orthodox;"debut
        2020-12-12";5;4;0;5 KOs;4 KOs
Raul Gorjon;heavy;;Spain;3;7;100%;;;;"debut
        2023-06-30";2;1;0;2 KOs;1 KOs
Richard Jaramillo Flores;heavy;34;Mexico;9;30;66.67%;;;;"debut
        2021-05-02";3;3;3;2 KOs;2 KOs
Ali Dakroub;heavy;28;Germany;4;10;100%;6′ 5″   /   195cm;;;"debut
        2023-11-28";3;1;0;3 KOs;0 KOs
Brian Zwart;heavy;21;Netherlands;4;12;50%;6′ 6½″   /   199cm;;;"debut
        2024-09-22";4;0;0;2 KOs;0 KOs
Samet Sentuerk;heavy;26;Germany;4;6;100%;;;;"debut
        2023-11-11";4;0;0;4 KOs;0 KOs
Enes Kirmizitoprak;heavy;28;Turkiye;26;70;43.75%;5′ 11″   /   180cm;;orthodox;"debut
        2021-07-10";16;9;1;7 KOs;9 KOs
Larry Gonzales;heavy;29;USA;1;4;0%;;;orthodox;"debut
        2024-11-09";0;0;1;0 KOs;0 KOs
Mike Hadley;heavy;37;United Kingdom;2;8;0%;;;;"debut
        2024-06-08";1;1;0;0 KOs;0 KOs
Luka Filka;heavy;24;Serbia;11;28;100%;5′ 9″   /   175cm;;;"debut
        2022-07-16";1;9;1;1 KOs;6 KOs
Walter Palacios;heavy;43;Nicaragua;48;281;55%;;;orthodox;"debut
        1995-09-30";20;26;2;11 KOs;11 KOs
Roberto Mura;heavy;;Italy;2;8;0%;;;;"debut
        2023-12-22";2;0;0;0 KOs;0 KOs
Michal Konecny;heavy;34;Czech Republic;4;9;100%;;;;"debut
        2023-03-02";1;3;0;1 KOs;2 KOs
Dejan Cosic;heavy;25;;1;2;100%;;;;"debut
        2024-11-02";1;0;0;1 KOs;0 KOs
Davit Gogishvili;heavy;35;Georgia;40;105;66.67%;;;southpaw;"debut
        2006-10-15";18;22;0;12 KOs;21 KOs
Jeffrey Gonzalez;heavy;;Nicaragua;3;10;33.33%;;;;"debut
        2024-02-03";3;0;0;1 KOs;0 KOs
Paata Aduashvili;heavy;29;Georgia;49;203;50%;5′ 10½″   /   179cm;;southpaw;"debut
        2012-03-14";10;36;3;5 KOs;21 KOs
Mike Diorio;heavy;35;USA;15;51;0%;5′ 11″   /   180cm;;orthodox;"debut
        2018-06-08";1;13;1;0 KOs;3 KOs
Edwin Emmanuel Uriarte Christal;heavy;21;Mexico;4;11;33.33%;;;;"debut
        2023-09-29";3;1;0;1 KOs;1 KOs
Syed Qamber Ali Hamdani;heavy;38;Pakistan;7;15;100%;;;;"debut
        2020-12-09";4;3;0;4 KOs;3 KOs
Orlando Estrella;heavy;36;Dominican Republic;10;28;50%;;;;"debut
        2015-07-11";2;8;0;1 KOs;8 KOs
Devinson Guerra;heavy;41;Colombia;18;69;66.67%;;;;"debut
        2003-02-08";6;12;0;4 KOs;10 KOs
Engin Solmaz;heavy;52;Turkiye;74;236;75%;6′ 2″   /   188cm;;orthodox;"debut
        1999-09-04";8;63;3;6 KOs;40 KOs
Dumar Carrascal;heavy;36;Colombia;14;43;66.67%;;;;"debut
        2006-12-29";6;8;0;4 KOs;7 KOs
Miloslav Pavek;heavy;31;Czech Republic;21;72;66.67%;;;;"debut
        2016-12-17";3;18;0;2 KOs;7 KOs
Logona Vetemotu;heavy;;Australia;1;1;0%;;;;"debut
        2024-09-07";1;0;0;0 KOs;0 KOs
Henry Richard;heavy;37;USA;5;9;75%;6′ 4″   /   193cm;;orthodox;"debut
        2022-03-05";4;1;0;3 KOs;1 KOs
Salavat Batalov;heavy;24;Russia;1;4;0%;5′ 11″   /   180cm;;;"debut
        2024-05-25";1;0;0;0 KOs;0 KOs
Hamza Bout;heavy;21;France;1;2;100%;6′ 3″   /   190cm;;;"debut
        2023-11-25";1;0;0;1 KOs;0 KOs
Cameron Graham;heavy;29;USA;6;16;100%;6′ 1″   /   185cm;;orthodox;"debut
        2022-05-14";2;4;0;2 KOs;3 KOs
William Nowlan;heavy;;Australia;3;7;100%;;;orthodox;"debut
        2021-12-11";1;2;0;1 KOs;1 KOs
Joey Leilua;heavy;32;Australia;4;8;66.67%;6′ 1″   /   186cm;;;"debut
        2021-12-22";3;1;0;2 KOs;1 KOs
Sean McCullagh;heavy;;Australia;1;1;100%;;;;"debut
        2024-09-21";1;0;0;1 KOs;0 KOs
Blaise Ndassi;heavy;39;Cameroon;6;27;25%;;;;"debut
        2013-06-28";4;2;0;1 KOs;1 KOs
Danilo Tosic;heavy;31;Bosnia And Herzegovina;3;6;66.67%;;;orthodox;"debut
        2019-12-28";3;0;0;2 KOs;0 KOs
Jorge Alberto Cazares Ramirez;heavy;25;Mexico;1;4;0%;;;;"debut
        2024-11-08";1;0;0;0 KOs;0 KOs
Erick Prieto;heavy;36;USA;7;24;66.67%;5′ 10″   /   178cm;;;"debut
        2023-08-12";3;4;0;2 KOs;2 KOs
Dusko Vujicic;heavy;44;Serbia;24;60;87.5%;5′ 9″   /   175cm;;;"debut
        2019-06-22";8;16;0;7 KOs;12 KOs
Robert Sabbagh;heavy;32;USA;6;16;75%;6′ 0″   /   183cm;;orthodox;"debut
        2021-03-20";4;2;0;3 KOs;2 KOs
Clerk Katoa;heavy;;Australia;4;11;66.67%;;;;"debut
        2018-09-15";3;1;0;2 KOs;0 KOs
Giorgi Tamazashvili;heavy;29;Georgia;16;31;100%;6′ 5½″   /   197cm;;orthodox;"debut
        2017-04-25";3;12;1;3 KOs;11 KOs
Pawel Sowik;heavy;34;Poland;17;51;33.33%;6′ 5″   /   196cm;78″   /   198cm;orthodox;"debut
        2016-11-11";3;14;0;1 KOs;10 KOs
Drazan Janjanin;heavy;35;Bosnia And Herzegovina;66;238;86.36%;5′ 11½″   /   182cm;;orthodox;"debut
        2013-08-23";22;43;0;19 KOs;28 KOs
Antwaun Tubbs;heavy;39;USA;25;71;40%;5′ 11″   /   180cm;;orthodox;"debut
        2014-09-27";5;20;0;2 KOs;17 KOs
Mark Anthony Lopez;heavy;50;USA;6;19;100%;6′ 5″   /   196cm;79″   /   201cm;orthodox;"debut
        2019-06-29";1;5;0;1 KOs;3 KOs
Ifeanyi Onyekwere;heavy;24;Nigeria;1;1;100%;;;;"debut
        2024-09-28";1;0;0;1 KOs;0 KOs
Pedro Esteban;heavy;42;Spain;1;3;100%;;;;"debut
        2023-12-02";1;0;0;1 KOs;0 KOs
Istvan Berki;heavy;20;Hungary;7;12;100%;;;;"debut
        2022-12-09";1;6;0;1 KOs;5 KOs
Emre Altintas;heavy;32;Germany;31;91;60%;;;;"debut
        2009-08-08";10;20;1;6 KOs;19 KOs
Hayden Wright;heavy;38;Australia;23;73;80%;6′ 1½″   /   187cm;;orthodox;"debut
        2015-09-18";5;17;0;4 KOs;7 KOs
Robert Salinas;heavy;27;USA;3;6;100%;6′ 4″   /   193cm;;orthodox;"debut
        2023-10-07";2;1;0;2 KOs;1 KOs
Freddy Yanez;heavy;23;Colombia;15;70;20%;;;;"debut
        2022-07-15";5;9;1;1 KOs;5 KOs
Hector Tapueluelu;heavy;33;Australia;6;14;0%;6′ 3″   /   190cm;;southpaw;"debut
        2019-06-21";1;4;1;0 KOs;4 KOs
Maciej Smokowski;heavy;36;Poland;4;16;25%;6′ 4½″   /   194cm;76½″   /   194cm;orthodox;"debut
        2023-05-13";4;0;0;1 KOs;0 KOs
Jung Hwan Kim;heavy;17;South Korea;2;8;0%;6′ 0½″   /   184cm;;orthodox;"debut
        2024-06-07";1;1;0;0 KOs;0 KOs
Jake Darnell;heavy;32;United Kingdom;35;135;0%;;;;"debut
        2022-02-19";2;33;0;0 KOs;6 KOs
Tanapat Vibulsuk;heavy;33;Thailand;6;10;100%;;;;"debut
        2022-09-28";2;4;0;2 KOs;4 KOs
Kendon Smallwood;heavy;31;USA;4;12;66.67%;5′ 10″   /   178cm;;orthodox;"debut
        2023-03-11";3;0;1;2 KOs;0 KOs
Nathaneal Tuteru;heavy;20;New Zealand;4;12;66.67%;5′ 9½″   /   176cm;;orthodox;"debut
        2023-12-15";3;1;0;2 KOs;0 KOs
Ramadhani Ally;heavy;36;Tanzania;6;13;50%;;;orthodox;"debut
        2014-03-23";2;4;0;1 KOs;3 KOs
Kenan Hanjalic;heavy;26;Bosnia And Herzegovina;4;9;75%;;;;"debut
        2019-12-21";4;0;0;3 KOs;0 KOs
Jasmin Hasic;heavy;36;Bosnia And Herzegovina;27;78;66.67%;6′ 5″   /   195cm;;;"debut
        2014-06-21";9;18;0;6 KOs;14 KOs
Jorge Armando Martinez;heavy;33;USA;14;43;25%;;;;"debut
        2011-03-05";4;10;0;1 KOs;8 KOs
Ranjeet Singh;heavy;26;India;14;52;33.33%;;;orthodox;"debut
        2019-05-25";6;8;0;2 KOs;5 KOs
Jose Humberto Corral;heavy;43;Mexico;54;274;60%;5′ 7½″   /   172cm;;orthodox;"debut
        2002-08-19";20;34;0;12 KOs;15 KOs
Andres Abreu;heavy;37;Venezuela;25;96;50%;;;;"debut
        2016-09-24";2;23;0;1 KOs;14 KOs
Zoltan Csala;heavy;47;Hungary;45;98;83.33%;6′ 2½″   /   189cm;;orthodox;"debut
        2014-07-12";12;33;0;10 KOs;31 KOs
Joseph Saumoa Tufuga;heavy;;New Zealand;2;6;100%;;;;"debut
        2023-08-26";1;1;0;1 KOs;0 KOs
Francisco Javier Florencio Martinez;heavy;30;Mexico;6;17;0%;;;;"debut
        2014-08-31";3;3;0;0 KOs;3 KOs
Jovan Zeljkovic;heavy;;Serbia;1;4;0%;;;;"debut
        2024-09-15";1;0;0;0 KOs;0 KOs
Vanja Puljko;heavy;30;Croatia;3;10;33.33%;;;;"debut
        2023-03-25";3;0;0;1 KOs;0 KOs
Joe Nakavulevu;heavy;35;United Kingdom;9;27;0%;;;orthodox;"debut
        2021-10-09";1;7;1;0 KOs;4 KOs
Victor Delgado;heavy;35;Panama;7;21;66.67%;;;;"debut
        2019-07-31";3;4;0;2 KOs;2 KOs
Alejandro Palacios Jaimes;heavy;24;Mexico;2;6;0%;;;;"debut
        2023-05-20";1;1;0;0 KOs;1 KOs
KeShawn Jackson;heavy;22;USA;8;21;0%;6′ 1″   /   185cm;;orthodox;"debut
        2022-03-25";1;5;1;0 KOs;4 KOs
Jesus Soto Bernal;heavy;34;Mexico;13;39;50%;;;;"debut
        2018-04-20";4;9;0;2 KOs;5 KOs
Maurice James Shaw;heavy;39;Philippines;2;2;100%;;;;"debut
        2024-07-21";2;0;0;2 KOs;0 KOs
Simon Madanhire;heavy;45;Zimbabwe;7;17;100%;;;orthodox;"debut
        2017-01-05";3;3;1;3 KOs;3 KOs
Imer Sidik;heavy;;;5;15;33.33%;;;;"debut
        2022-10-09";3;2;0;1 KOs;2 KOs
Adam Black;heavy;38;Canada;3;10;0%;;;;"debut
        2023-10-14";2;1;0;0 KOs;1 KOs
Andras Csomor;heavy;36;Hungary;61;185;77.78%;5′ 11½″   /   182cm;;orthodox;"debut
        2013-02-10";18;41;2;14 KOs;34 KOs
Jeramy Karshner;heavy;41;USA;14;39;75%;6′ 0″   /   183cm;;orthodox;"debut
        2014-11-26";8;6;0;6 KOs;4 KOs
Jimmie Levins;heavy;44;USA;10;25;0%;6′ 1″   /   185cm;;orthodox;"debut
        2016-04-23";2;8;0;0 KOs;6 KOs
Kazim Umudov;heavy;35;Azerbaijan;12;27;40%;6′ 0″   /   183cm;;orthodox;"debut
        2017-02-04";5;7;0;2 KOs;7 KOs
Ferenc Zsalek;heavy;39;Hungary;114;413;33.33%;5′ 11″   /   180cm;;orthodox;"debut
        2004-03-26";21;85;7;7 KOs;35 KOs
Marco Antonio Pina Avila;heavy;28;Mexico;2;5;100%;;;;"debut
        2024-02-03";1;1;0;1 KOs;0 KOs
Justin Novaria;heavy;33;USA;38;142;42.86%;6′ 0″   /   183cm;;;"debut
        2009-08-14";7;31;0;3 KOs;15 KOs
Piotr Rzyman;heavy;30;Poland;12;29;100%;6′ 2″   /   188cm;75″   /   190cm;orthodox;"debut
        2019-01-13";2;10;0;2 KOs;7 KOs
Tomas Novotny;heavy;26;Czech Republic;2;2;100%;;;;"debut
        2024-02-02";2;0;0;2 KOs;0 KOs
Ramazi Gogichashvili;heavy;30;Georgia;59;257;42.86%;6′ 2″   /   188cm;;orthodox;"debut
        2012-02-02";14;43;2;6 KOs;25 KOs
Ukrit Noiubon;heavy;24;Thailand;6;16;100%;;;;"debut
        2023-08-27";1;5;0;1 KOs;5 KOs
Mait Metsis;heavy;43;Estonia;11;35;100%;;;;"debut
        2021-10-09";1;10;0;1 KOs;3 KOs
Justin Richwine;heavy;38;USA;6;20;0%;6′ 0″   /   183cm;;orthodox;"debut
        2019-04-27";1;5;0;0 KOs;3 KOs
Derris Wolfe;heavy;38;USA;8;27;66.67%;6′ 2″   /   188cm;;orthodox;"debut
        2022-10-08";3;4;1;2 KOs;3 KOs
Yannick Willaime;heavy;41;France;1;4;100%;;;;"debut
        2024-05-26";1;0;0;1 KOs;0 KOs
Tracey Johnson;heavy;38;USA;24;98;0%;5′ 7″   /   170cm;;southpaw;"debut
        2011-08-26";5;13;6;0 KOs;6 KOs
Christian Lopez Riano;heavy;22;;3;11;100%;;;;"debut
        2024-02-24";1;1;1;1 KOs;0 KOs
Matej Hudak;heavy;27;Czech Republic;5;11;100%;;;;"debut
        2021-10-23";3;2;0;3 KOs;0 KOs
Eric Slocum;heavy;;USA;12;40;100%;5′ 11″   /   180cm;;orthodox;"debut
        2013-07-13";2;10;0;2 KOs;2 KOs
Elijah Kavila;heavy;26;USA;3;7;100%;6′ 6″   /   198cm;;orthodox;"debut
        2023-10-07";2;1;0;2 KOs;0 KOs
Alfredo Trevino;heavy;40;Mexico;21;70;11.11%;5′ 9″   /   175cm;;orthodox;"debut
        2008-11-08";9;11;1;1 KOs;11 KOs
Dinel Fejzic;heavy;23;Bosnia And Herzegovina;9;24;50%;;;;"debut
        2021-10-30";2;4;3;1 KOs;4 KOs
Ibrahim Odobasic;heavy;29;Bosnia And Herzegovina;26;73;60%;6′ 0½″   /   184cm;;;"debut
        2017-12-15";5;20;1;3 KOs;14 KOs
Juan Lopez Alcaraz;heavy;40;Mexico;43;158;40%;;;;"debut
        2009-10-03";5;35;3;2 KOs;14 KOs
Adrien Filser;heavy;33;France;5;21;100%;6′ 3″   /   190cm;;;"debut
        2022-05-07";2;3;0;2 KOs;0 KOs
Bruno Ochoa;heavy;33;Mexico;11;30;50%;;;;"debut
        2009-10-02";4;6;1;2 KOs;5 KOs
Sadulla Ergashev;heavy;43;Uzbekistan;9;27;50%;;;orthodox;"debut
        2011-11-20";2;7;0;1 KOs;4 KOs
Joseph Samara;heavy;36;Palestinian Territory;4;8;100%;6′ 3″   /   191cm;;southpaw;"debut
        2021-08-27";4;0;0;4 KOs;0 KOs
Walter Ramon Alvarez;heavy;37;Argentina;22;86;0%;;;;"debut
        2016-05-28";2;20;0;0 KOs;6 KOs
Nikola Knezevic;heavy;29;Serbia;14;39;0%;;;southpaw;"debut
        2019-12-30";2;12;0;0 KOs;8 KOs
Juan Luis Gonzalez;heavy;;Nicaragua;27;55;66.67%;;;;"debut
        2001-05-25";3;24;0;2 KOs;22 KOs
